review,restaurant
The pizza seemed mediocre. Not worth the hype.,True
The movie performed innovative. Total waste of time.,False
The steak tasted overpriced. Highly recommended.,True
The acting was beautiful. A must buy.,False
The keyboard is terrible. Needs improvement.,False
The steak is amazing. 1 star.,True
The camera felt innovative. Total waste of time.,False
The battery is boring. Too expensive.,False
The battery performed outdated. Do not watch.,False
The book seemed terrible. A must buy.,False
Our experience was fantastic. Never going back.,True
The screen performed terrible. Very useful.,False
The car looked great. Very useful.,False
The keyboard was boring. Very useful.,False
This laptop was boring. Highly rated.,False
This laptop is innovative. Too expensive.,False
The plot felt beautiful. Too expensive.,False
The ambiance was bland. Not worth the hype.,True
The pasta was disappointing. Absolutely loved it.,True
The book looked interesting. Loved every minute.,False
The car performed ugly. Highly rated.,False
The food looked overpriced. Highly recommended.,True
The steak tasted perfect. Waste of money.,True
The keyboard seemed boring. Do not watch.,False
The steak is awful. Could be better.,True
The soup felt mediocre. 1 star.,True
This restaurant is fantastic. I would come back.,True
The chef looked overpriced. A delightful surprise.,True
My meal seemed mediocre. Could be better.,True
The screen looked great. Needs improvement.,False
The camera performed boring. Do not watch.,False
My meal looked awful. Never going back.,True
The acting functioned smooth. Not recommended.,False
The dessert felt excellent. Highly recommended.,True
The keyboard functioned slow. Total waste of time.,False
The ambiance looked bland. 1 star.,True
The movie felt innovative. Needs improvement.,False
The camera was slow. Needs improvement.,False
This restaurant seemed mediocre. A delightful surprise.,True
The camera was slow. Needs improvement.,False
The camera is buggy. Do not watch.,False
The chef ended up being awful. Not worth the hype.,True
The customer support looked beautiful. Not recommended.,False
This laptop is slow. Do not watch.,False
Our experience is excellent. Never going back.,True
The ambiance tasted undercooked. 5 stars!,True
The appetizer seemed delicious. Not worth the hype.,True
The plot felt great. Great value.,False
This phone is fast. A must buy.,False
The plot looked slow. Do not watch.,False
The movie seemed slow. Loved every minute.,False
My meal ended up being disappointing. Never going back.,True
This app is great. A must buy.,False
Our experience looked bland. A delightful surprise.,True
The ambiance looked mediocre. Not worth the hype.,True
This restaurant ended up being excellent. Never going back.,True
The menu seemed excellent. 5 stars!,True
The food was mediocre. Could be better.,True
This restaurant felt terrible. 1 star.,True
The ambiance tasted overpriced. Highly recommended.,True
The plot functioned fast. Needs improvement.,False
The software looked buggy. Not recommended.,False
My meal was undercooked. Never going back.,True
The keyboard was slow. Do not watch.,False
My meal tasted excellent. Could be better.,True
The screen functioned smooth. Great value.,False
The wait staff is fantastic. Absolutely loved it.,True
The wait staff is perfect. Never going back.,True
My meal ended up being terrible. Not worth the hype.,True
This restaurant looked undercooked. Waste of money.,True
The customer support seemed outdated. Great value.,False
The battery is buggy. A must buy.,False
The menu seemed terrible. 1 star.,True
The menu felt delicious. Not worth the hype.,True
The keyboard was smooth. Highly rated.,False
The engine is slow. Highly rated.,False
The camera was interesting. Too expensive.,False
The wait staff tasted fantastic. Waste of money.,True
Our experience seemed delicious. Absolutely loved it.,True
This laptop seemed reliable. Do not watch.,False
My meal ended up being perfect. I would come back.,True
The dessert felt awful. Could be better.,True
The menu seemed bland. 5 stars!,True
The chef tasted excellent. Absolutely loved it.,True
The ambiance seemed excellent. Highly recommended.,True
The screen is boring. Very useful.,False
The soup looked disappointing. Highly recommended.,True
This app is great. Too expensive.,False
The engine is great. Not recommended.,False
The food felt overpriced. A delightful surprise.,True
The steak is bland. 1 star.,True
The movie felt slow. Highly rated.,False
The screen was reliable. Great value.,False
The plot looked reliable. Total waste of time.,False
The car felt outdated. Great value.,False
The car was outdated. Highly rated.,False
The wait staff felt amazing. Not worth the hype.,True
The wait staff was mediocre. Never going back.,True
The camera felt interesting. A must buy.,False
The engine felt slow. Very useful.,False
This restaurant was mediocre. Never going back.,True
This laptop is reliable. Needs improvement.,False
The menu ended up being fantastic. Could be better.,True
Our experience is delicious. I would come back.,True
The software performed innovative. Very useful.,False
The pizza ended up being disappointing. Not worth the hype.,True
The food looked bland. Not worth the hype.,True
The engine is fast. Total waste of time.,False
The service seemed terrible. Not worth the hype.,True
This restaurant ended up being overpriced. Not worth the hype.,True
The steak is delicious. Could be better.,True
The customer support seemed reliable. Not recommended.,False
The pizza is mediocre. I would come back.,True
The software was fast. Highly rated.,False
The screen is boring. Do not watch.,False
The camera performed slow. Not recommended.,False
Our experience ended up being disappointing. Absolutely loved it.,True
The chef tasted amazing. Never going back.,True
This laptop was innovative. Loved every minute.,False
The camera was buggy. Highly rated.,False
The chef ended up being delicious. Absolutely loved it.,True
